gre,university,gpa,research,admission
337,4,9.65,1,0.92
324,4,8.87,1,0.76
316,3,8,1,0.72
322,3,8.67,1,0.8
314,2,8.21,0,0.65
330,5,9.34,1,0.9
321,3,8.2,1,0.75
308,2,7.9,0,0.68
302,1,8,0,0.5
323,3,8.6,0,0.45
325,3,8.4,1,0.52
327,4,9,1,0.84
328,4,9.1,1,0.78
307,3,8,1,0.62
311,3,8.2,1,0.61
314,3,8.3,0,0.54
317,3,8.7,0,0.66
319,3,8,1,0.65
318,3,8.8,0,0.63
303,3,8.5,0,0.62
312,3,7.9,1,0.64
325,4,8.4,0,0.7
328,5,9.5,1,0.94
334,5,9.7,1,0.95
336,5,9.8,1,0.97
340,5,9.6,1,0.94
322,5,8.8,0,0.76
298,2,7.5,1,0.44
295,1,7.2,0,0.46
310,2,7.3,0,0.54
300,2,8.1,1,0.65
327,3,8.3,1,0.74
338,4,9.4,1,0.91
340,5,9.6,1,0.9
331,5,9.8,1,0.94
320,5,9.2,1,0.88
299,2,8.4,0,0.64
300,1,7.8,0,0.58
304,1,7.5,0,0.52
307,2,7.7,0,0.48
308,3,8,1,0.46
316,2,8.2,1,0.49
313,2,8.5,1,0.53
332,4,9.1,0,0.87
326,5,9.4,1,0.91
322,5,9.1,1,0.88
329,5,9.3,1,0.86
339,5,9.7,0,0.89
321,3,8.85,1,0.82
327,4,8.4,1,0.78
313,3,8.3,1,0.76
312,2,7.9,1,0.56
334,4,8,1,0.78
324,4,8.1,1,0.72
322,3,8,0,0.7
320,3,7.7,0,0.64
316,3,7.4,0,0.64
298,2,7.6,0,0.46
300,1,6.8,1,0.36
311,2,8.3,0,0.42
309,2,8.1,0,0.48
307,3,8.2,0,0.47
304,2,8.2,1,0.54
315,2,8.5,1,0.56
325,3,8.7,0,0.52
325,4,8.92,0,0.55
327,3,9.02,0,0.61
316,2,8.64,1,0.57
318,3,9.22,1,0.68
328,4,9.16,1,0.78
332,5,9.64,1,0.94
336,5,9.76,1,0.96
321,5,9.45,1,0.93
314,4,9.04,1,0.84
314,3,8.9,0,0.74
329,2,8.56,1,0.72
327,3,8.72,1,0.74
301,2,8.22,0,0.64
296,2,7.54,1,0.44
294,1,7.36,0,0.46
312,3,8.02,1,0.5
340,4,9.5,1,0.96
320,5,9.22,1,0.92
322,5,9.36,1,0.92
340,5,9.45,1,0.94
319,4,8.66,0,0.76
315,3,8.42,0,0.72
317,2,8.28,0,0.66
314,3,8.14,0,0.64
316,4,8.76,1,0.74
318,2,7.92,1,0.64
299,3,7.66,0,0.38
298,2,8.03,0,0.34
301,2,7.88,1,0.44
303,3,7.66,0,0.36
304,4,7.84,0,0.42
306,2,8,0,0.48
331,3,8.96,1,0.86
332,4,9.24,1,0.9
323,3,8.88,1,0.79
322,3,8.46,1,0.71
312,2,8.12,0,0.64
314,2,8.25,0,0.62
317,2,8.47,0,0.57
326,3,9.05,1,0.74
316,3,8.78,1,0.69
329,4,9.18,1,0.87
338,4,9.46,1,0.91
331,5,9.38,1,0.93
304,5,8.64,0,0.68
305,5,8.48,0,0.61
321,4,8.68,1,0.69
301,3,8.34,1,0.62
320,2,8.56,0,0.72
311,3,8.45,1,0.59
310,4,9.04,1,0.66
299,3,8.62,0,0.56
290,4,7.46,0,0.45
296,2,7.28,0,0.47
327,5,8.84,1,0.71
335,5,9.56,1,0.94
334,5,9.48,1,0.94
310,4,8.36,0,0.57
308,3,8.22,0,0.61
301,4,8.47,0,0.57
300,3,8.66,1,0.64
323,3,9.32,1,0.85
319,3,8.71,1,0.78
326,3,9.1,1,0.84
333,5,9.35,1,0.92
339,5,9.76,1,0.96
303,5,8.65,0,0.77
309,5,8.56,0,0.71
323,5,8.78,0,0.79
333,5,9.28,1,0.89
314,4,8.77,1,0.82
312,3,8.45,0,0.76
316,2,8.16,1,0.71
326,2,9.08,1,0.8
318,1,9.12,0,0.78
329,2,9.15,1,0.84
332,2,9.36,1,0.9
331,5,9.44,1,0.92
340,4,9.92,1,0.97
325,2,8.96,1,0.8
320,2,8.64,1,0.81
315,3,8.48,0,0.75
326,3,9.11,1,0.83
339,4,9.8,1,0.96
311,2,8.26,1,0.79
334,4,9.43,1,0.93
332,5,9.28,1,0.94
321,5,9.06,1,0.86
324,3,8.75,0,0.79
326,3,8.89,0,0.8
312,3,8.69,0,0.77
315,3,8.34,0,0.7
309,2,8.26,0,0.65
306,2,8.14,0,0.61
297,1,7.9,0,0.52
315,1,7.86,0,0.57
298,1,7.46,0,0.53
318,3,8.5,0,0.67
317,3,8.56,0,0.68
329,4,9.01,1,0.81
322,5,8.97,0,0.78
302,3,8.33,0,0.65
313,3,8.27,0,0.64
293,2,7.8,1,0.64
311,2,7.98,0,0.65
312,2,8.04,1,0.68
334,5,9.07,1,0.89
322,4,9.13,1,0.86
323,4,9.23,1,0.89
321,4,8.97,1,0.87
320,4,8.87,1,0.85
329,4,9.16,1,0.9
319,3,9.04,0,0.82
309,3,8.12,0,0.72
307,3,8.27,0,0.73
300,3,8.16,0,0.71
305,2,8.42,0,0.71
299,2,7.88,0,0.68
314,3,8.8,0,0.75
316,2,8.32,0,0.72
327,4,9.11,1,0.89
317,3,8.68,1,0.84
335,5,9.44,1,0.93
331,5,9.36,1,0.93
324,5,9.08,1,0.88
324,5,9.16,1,0.9
323,5,8.98,1,0.87
322,5,8.94,1,0.86
336,5,9.53,1,0.94
316,3,8.76,0,0.77
307,2,8.52,1,0.78
306,2,8.26,0,0.73
310,2,8.33,0,0.73
311,3,8.43,0,0.7
313,3,8.69,0,0.72
317,3,8.54,1,0.73
315,2,8.46,1,0.72
340,5,9.91,1,0.97
334,5,9.87,1,0.97
298,3,8.54,0,0.69
295,2,7.65,0,0.57
315,2,7.89,0,0.63
310,3,8.02,1,0.66
305,2,8.16,0,0.64
301,3,8.12,1,0.68
325,4,9.06,1,0.79
328,4,9.14,1,0.82
338,4,9.66,1,0.95
333,5,9.78,1,0.96
331,4,9.42,1,0.94
330,5,9.36,1,0.93
322,4,9.26,1,0.91
321,4,9.13,1,0.85
324,4,8.97,1,0.84
312,3,8.42,0,0.74
313,3,8.75,0,0.76
316,3,8.56,0,0.75
324,4,8.79,0,0.76
308,2,8.45,0,0.71
305,2,8.23,0,0.67
296,2,8.03,0,0.61
306,2,8.45,0,0.63
312,2,8.53,0,0.64
318,3,8.67,0,0.71
324,4,9.01,1,0.82
313,3,8.65,0,0.73
319,3,8.33,1,0.74
312,2,8.27,0,0.69
304,2,8.07,0,0.64
330,5,9.31,1,0.91
326,5,9.23,1,0.88
325,4,9.17,1,0.85
329,5,9.19,1,0.86
310,3,8.37,0,0.7
299,1,7.89,0,0.59
296,1,7.68,0,0.6
317,2,8.15,0,0.65
324,3,8.76,1,0.7
325,3,9.04,1,0.76
314,2,8.56,0,0.63
328,4,9.02,1,0.81
316,3,8.73,0,0.72
311,2,8.48,0,0.71
324,3,8.87,1,0.8
321,3,8.83,1,0.77
320,3,8.57,1,0.74
316,2,9,0,0.7
318,2,8.54,1,0.71
335,4,9.68,1,0.93
321,4,9.12,0,0.85
307,4,8.37,0,0.79
309,3,8.56,0,0.76
324,3,8.64,1,0.78
326,4,8.76,1,0.77
331,4,9.34,1,0.9
327,5,9.13,1,0.87
312,3,8.09,0,0.71
308,2,8.36,1,0.7
324,3,8.79,1,0.7
325,2,8.76,1,0.75
313,3,8.68,0,0.71
312,2,8.45,0,0.72
314,3,8.17,1,0.73
327,4,9.14,0,0.83
308,4,8.34,0,0.77
306,2,8.22,1,0.72
299,2,7.86,0,0.54
294,1,7.64,0,0.49
312,1,8.01,1,0.52
315,1,7.95,0,0.58
322,3,8.96,1,0.78
329,5,9.45,1,0.89
320,2,8.62,0,0.7
308,2,8.49,0,0.66
304,2,8.73,0,0.67
311,3,8.64,1,0.68
317,3,9.11,1,0.8
312,3,8.79,1,0.81
321,3,8.9,1,0.8
340,4,9.66,1,0.94
331,5,9.26,1,0.93
336,5,9.19,1,0.92
324,5,9.08,1,0.89
314,4,9.02,0,0.82
313,3,9,0,0.79
307,2,7.65,0,0.58
300,2,7.87,0,0.56
302,2,7.97,0,0.56
312,1,8.18,1,0.64
316,2,8.32,1,0.61
317,2,8.57,0,0.68
310,3,8.67,0,0.76
320,3,9.11,0,0.86
330,3,9.24,1,0.9
305,3,8.65,0,0.71
309,2,8,0,0.62
319,2,8.76,0,0.66
322,2,8.45,1,0.65
323,3,8.55,1,0.73
313,2,8.43,0,0.62
321,3,8.8,1,0.74
323,3,9.1,1,0.79
325,4,9,1,0.8
312,3,8.53,0,0.69
308,4,8.6,0,0.7
320,3,8.74,1,0.76
328,4,9.18,1,0.84
311,4,9,1,0.78
301,3,8.04,0,0.67
305,2,8.13,0,0.66
308,2,8.07,0,0.65
298,2,7.86,0,0.54
300,1,8.01,0,0.58
324,3,8.8,1,0.79
327,4,8.69,1,0.8
317,3,8.5,1,0.75
323,3,8.44,1,0.73
314,2,8.27,0,0.72
305,2,8.18,0,0.62
315,3,8.33,0,0.67
326,3,9.14,1,0.81
299,3,8.02,0,0.63
295,2,7.86,0,0.69
324,4,8.77,1,0.8
297,2,7.89,0,0.43
327,3,8.66,1,0.8
311,2,8.12,1,0.73
308,3,8.21,1,0.75
319,3,8.54,1,0.71
312,4,8.65,1,0.73
325,4,9.11,1,0.83
319,3,8.79,0,0.72
332,5,9.47,1,0.94
323,5,8.74,1,0.81
324,5,8.66,1,0.81
312,3,8.46,1,0.75
326,3,8.76,1,0.79
308,3,8.24,0,0.58
305,2,8.13,0,0.59
295,2,7.34,0,0.47
316,1,7.43,0,0.49
304,2,7.64,0,0.47
299,1,7.34,0,0.42
302,1,7.25,0,0.57
313,3,8.04,0,0.62
318,3,8.27,1,0.74
325,4,8.67,1,0.73
303,2,8.06,1,0.64
300,3,8.17,0,0.63
297,2,7.67,0,0.59
317,2,8.12,0,0.73
327,3,8.77,1,0.79
301,2,7.89,1,0.68
314,2,7.64,0,0.7
321,2,8.44,0,0.81
322,3,8.64,1,0.85
334,4,9.54,1,0.93
338,5,9.23,1,0.91
306,2,8.36,0,0.69
313,3,8.9,1,0.77
330,4,9.17,1,0.86
320,3,8.34,1,0.74
311,1,7.46,0,0.57
298,1,7.88,0,0.51
301,1,8.03,1,0.67
310,2,8.24,0,0.72
324,3,9.22,1,0.89
336,4,9.62,1,0.95
321,3,8.54,1,0.79
315,2,7.65,0,0.39
304,2,7.66,0,0.38
297,2,7.43,0,0.34
290,1,7.56,0,0.47
303,1,7.65,0,0.56
311,1,8.43,1,0.71
322,3,8.84,1,0.78
319,3,8.67,1,0.73
324,4,9.15,1,0.82
300,3,8.26,0,0.62
340,4,9.74,1,0.96
335,5,9.82,1,0.96
302,2,7.96,0,0.46
307,2,8.1,0,0.53
296,2,7.8,0,0.49
320,3,8.44,1,0.76
314,2,8.24,0,0.64
318,3,8.65,0,0.71
326,4,9.12,1,0.84
317,2,8.76,0,0.77
329,4,9.23,1,0.89
324,3,9.04,1,0.82
325,3,9.11,1,0.84
330,4,9.45,1,0.91
312,3,8.78,0,0.67
333,4,9.66,1,0.95
